lon,lat,area,region
-124.5,42.5,2269,WESTERN_USA
-124.5,43.0,2002,WESTERN_USA
-124.5,48.0,1636,WESTERN_USA
-124.0,40.0,2359,WESTERN_USA
-124.0,40.5,2341,WESTERN_USA
-124.0,41.0,2324,WESTERN_USA
-124.0,41.5,2306,WESTERN_USA
-124.0,42.0,2288,WESTERN_USA
-124.0,42.5,2269,WESTERN_USA
-124.0,43.0,2251,WESTERN_USA
-124.0,43.5,2233,WESTERN_USA
-124.0,44.0,2214,WESTERN_USA
-124.0,44.5,2195,WESTERN_USA
-124.0,45.0,2176,WESTERN_USA
-124.0,45.5,2157,WESTERN_USA
-124.0,46.0,1971,WESTERN_USA
-124.0,46.5,2118,WESTERN_USA
-124.0,47.0,2098,WESTERN_USA
-124.0,47.5,2078,WESTERN_USA
-123.5,39.0,2393,WESTERN_USA
-123.5,39.5,2376,WESTERN_USA
-123.5,40.0,2359,WESTERN_USA
-123.5,40.5,2341,WESTERN_USA
-123.5,41.0,2324,WESTERN_USA
-123.5,41.5,2306,WESTERN_USA
-123.5,42.0,2288,WESTERN_USA
-123.5,42.5,2269,WESTERN_USA
-123.5,43.0,2251,WESTERN_USA
-123.5,43.5,2233,WESTERN_USA
-123.5,44.0,2214,WESTERN_USA
-123.5,44.5,2195,WESTERN_USA
-123.5,45.0,2176,WESTERN_USA
-123.5,45.5,2157,WESTERN_USA
-123.5,46.0,2137,WESTERN_USA
-123.5,46.5,2118,WESTERN_USA
-123.5,47.0,2098,WESTERN_USA
-123.5,47.5,2078,WESTERN_USA
-123.5,48.0,1167,WESTERN_USA
-123.0,38.5,2410,WESTERN_USA
-123.0,39.5,2376,WESTERN_USA
-123.0,40.0,2359,WESTERN_USA
-123.0,40.5,2341,WESTERN_USA
-123.0,41.0,2324,WESTERN_USA
-123.0,41.5,2306,WESTERN_USA
-123.0,42.0,2288,WESTERN_USA
-123.0,42.5,2269,WESTERN_USA
-123.0,43.0,2251,WESTERN_USA
-123.0,43.5,2233,WESTERN_USA
-123.0,44.0,2214,WESTERN_USA
-123.0,44.5,2195,WESTERN_USA
-123.0,45.0,2176,WESTERN_USA
-123.0,45.5,2157,WESTERN_USA
-123.0,46.0,2137,WESTERN_USA
-123.0,46.5,2118,WESTERN_USA
-123.0,47.0,2098,WESTERN_USA
-123.0,47.5,2078,WESTERN_USA
-123.0,48.0,1189,WESTERN_USA
-123.0,48.5,1328,WESTERN_USA
-122.5,38.0,2211,WESTERN_USA
-122.5,41.5,2306,WESTERN_USA
-122.5,42.0,2288,WESTERN_USA
-122.5,42.5,2269,WESTERN_USA
-122.5,43.0,2251,WESTERN_USA
-122.5,43.5,2233,WESTERN_USA
-122.5,44.0,2214,WESTERN_USA
-122.5,44.5,2195,WESTERN_USA
-122.5,45.0,2176,WESTERN_USA
-122.5,45.5,2157,WESTERN_USA
-122.5,46.0,2137,WESTERN_USA
-122.5,46.5,2118,WESTERN_USA
-122.5,47.0,2098,WESTERN_USA
-122.5,47.5,2078,WESTERN_USA
-122.5,48.0,2058,WESTERN_USA
-122.5,48.5,2038,WESTERN_USA
-122.0,36.5,2201,WESTERN_USA
-122.0,40.0,2359,WESTERN_USA
-122.0,40.5,2341,WESTERN_USA
-122.0,41.0,2324,WESTERN_USA
-122.0,42.5,2269,WESTERN_USA
-122.0,43.0,2251,WESTERN_USA
-122.0,43.5,2233,WESTERN_USA
-122.0,44.0,2214,WESTERN_USA
-122.0,44.5,2195,WESTERN_USA
-122.0,45.0,2176,WESTERN_USA
-122.0,45.5,2157,WESTERN_USA
-122.0,46.0,2137,WESTERN_USA
-122.0,46.5,2118,WESTERN_USA
-122.0,47.0,2098,WESTERN_USA
-122.0,47.5,2078,WESTERN_USA
-122.0,48.0,2058,WESTERN_USA
-122.0,48.5,2038,WESTERN_USA
-121.5,36.0,2492,WESTERN_USA
-121.5,39.0,2393,WESTERN_USA
-121.5,39.5,2376,WESTERN_USA
-121.5,40.0,2359,WESTERN_USA
-121.5,40.5,2341,WESTERN_USA
-121.5,41.0,2324,WESTERN_USA
-121.5,42.5,2269,WESTERN_USA
-121.5,43.0,2251,WESTERN_USA
-121.5,43.5,2233,WESTERN_USA
-121.5,46.0,2137,WESTERN_USA
-121.5,46.5,2118,WESTERN_USA
-121.5,47.0,2098,WESTERN_USA
-121.5,47.5,2078,WESTERN_USA
-121.5,48.5,2038,WESTERN_USA
-121.0,35.5,2508,WESTERN_USA
-121.0,36.0,2492,WESTERN_USA
-121.0,38.0,2427,WESTERN_USA
-121.0,38.5,2410,WESTERN_USA
-121.0,39.0,2393,WESTERN_USA
-121.0,39.5,2376,WESTERN_USA
-121.0,40.0,2359,WESTERN_USA
-121.0,42.0,2288,WESTERN_USA
-121.0,42.5,2269,WESTERN_USA
-121.0,47.0,2098,WESTERN_USA
-121.0,47.5,2078,WESTERN_USA
-120.5,34.5,2539,WESTERN_USA
-120.5,35.0,2524,WESTERN_USA
-120.5,37.5,2444,WESTERN_USA
-120.5,38.0,2427,WESTERN_USA
-120.5,38.5,2410,WESTERN_USA
-120.5,39.0,2393,WESTERN_USA
-120.5,39.5,2376,WESTERN_USA
-120.5,44.0,2214,WESTERN_USA
-120.5,47.5,2078,WESTERN_USA
-120.5,48.0,2058,WESTERN_USA
-120.5,48.5,2038,WESTERN_USA
-120.0,37.0,2460,WESTERN_USA
-120.0,37.5,2444,WESTERN_USA
-120.0,38.0,2427,WESTERN_USA
-120.0,38.5,2410,WESTERN_USA
-120.0,48.5,2038,WESTERN_USA
-119.5,36.0,2492,WESTERN_USA
-119.5,36.5,2476,WESTERN_USA
-119.5,37.0,2460,WESTERN_USA
-119.5,37.5,2444,WESTERN_USA
-119.5,43.5,2233,WESTERN_USA
-119.5,44.0,2214,WESTERN_USA
-119.5,44.5,2195,WESTERN_USA
-119.0,35.5,2508,WESTERN_USA
-119.0,36.0,2492,WESTERN_USA
-119.0,36.5,2476,WESTERN_USA
-119.0,37.0,2460,WESTERN_USA
-119.0,44.0,2214,WESTERN_USA
-119.0,44.5,2195,WESTERN_USA
-119.0,45.0,2176,WESTERN_USA
-119.0,48.0,2058,WESTERN_USA
-119.0,48.5,2038,WESTERN_USA
-118.5,36.0,2492,WESTERN_USA
-118.5,44.5,2195,WESTERN_USA
-118.5,45.0,2176,WESTERN_USA
-118.5,48.0,2058,WESTERN_USA
-118.5,48.5,2038,WESTERN_USA
-118.0,45.0,2176,WESTERN_USA
-118.0,45.5,2157,WESTERN_USA
-118.0,46.0,2137,WESTERN_USA
-118.0,48.0,2058,WESTERN_USA
-118.0,48.5,2038,WESTERN_USA
-117.5,45.0,2176,WESTERN_USA
-117.5,45.5,2157,WESTERN_USA
-117.5,47.5,2078,WESTERN_USA
-117.5,48.0,2058,WESTERN_USA
-117.5,48.5,2038,WESTERN_USA
-117.0,34.0,2555,WESTERN_USA
-117.0,45.0,2176,WESTERN_USA
-117.0,47.0,2098,WESTERN_USA
-117.0,47.5,2078,WESTERN_USA
-117.0,48.0,2058,WESTERN_USA
-117.0,48.5,2038,WESTERN_USA
-116.5,44.5,2195,WESTERN_USA
-116.5,45.0,2176,WESTERN_USA
-116.5,45.5,2157,WESTERN_USA
-116.5,46.5,2118,WESTERN_USA
-116.5,47.0,2098,WESTERN_USA
-116.5,47.5,2078,WESTERN_USA
-116.5,48.0,2058,WESTERN_USA
-116.5,48.5,2038,WESTERN_USA
-116.0,43.5,2233,WESTERN_USA
-116.0,44.0,2214,WESTERN_USA
-116.0,44.5,2195,WESTERN_USA
-116.0,45.0,2176,WESTERN_USA
-116.0,45.5,2157,WESTERN_USA
-116.0,46.0,2137,WESTERN_USA
-116.0,46.5,2118,WESTERN_USA
-116.0,47.0,2098,WESTERN_USA
-116.0,47.5,2078,WESTERN_USA
-116.0,48.0,2058,WESTERN_USA
-116.0,48.5,2038,WESTERN_USA
-115.5,43.5,2233,WESTERN_USA
-115.5,44.0,2214,WESTERN_USA
-115.5,44.5,2195,WESTERN_USA
-115.5,45.0,2176,WESTERN_USA
-115.5,45.5,2157,WESTERN_USA
-115.5,46.0,2137,WESTERN_USA
-115.5,46.5,2118,WESTERN_USA
-115.5,47.0,2098,WESTERN_USA
-115.5,47.5,2078,WESTERN_USA
-115.5,48.0,2058,WESTERN_USA
-115.5,48.5,2038,WESTERN_USA
-115.0,43.5,2233,WESTERN_USA
-115.0,44.0,2214,WESTERN_USA
-115.0,44.5,2195,WESTERN_USA
-115.0,45.0,2176,WESTERN_USA
-115.0,45.5,2157,WESTERN_USA
-115.0,46.0,2137,WESTERN_USA
-115.0,46.5,2118,WESTERN_USA
-115.0,47.0,2098,WESTERN_USA
-115.0,47.5,2078,WESTERN_USA
-115.0,48.0,2058,WESTERN_USA
-115.0,48.5,2038,WESTERN_USA
-114.5,44.5,2195,WESTERN_USA
-114.5,45.0,2176,WESTERN_USA
-114.5,45.5,2157,WESTERN_USA
-114.5,46.0,2137,WESTERN_USA
-114.5,46.5,2118,WESTERN_USA
-114.5,48.5,2038,WESTERN_USA
-114.0,44.0,2214,WESTERN_USA
-114.0,45.5,2157,WESTERN_USA
-114.0,46.0,2137,WESTERN_USA
-114.0,46.5,2118,WESTERN_USA
-114.0,47.0,2098,WESTERN_USA
-114.0,47.5,2078,WESTERN_USA
-114.0,48.0,2058,WESTERN_USA
-114.0,48.5,2038,WESTERN_USA
-113.5,44.5,2195,WESTERN_USA
-113.5,45.0,2176,WESTERN_USA
-113.5,45.5,2157,WESTERN_USA
-113.5,46.0,2137,WESTERN_USA
-113.5,47.0,2098,WESTERN_USA
-113.5,47.5,2078,WESTERN_USA
-113.5,48.0,2058,WESTERN_USA
-113.0,34.5,2539,WESTERN_USA
-113.0,37.5,2444,WESTERN_USA
-113.0,44.5,2195,WESTERN_USA
-113.0,45.5,2157,WESTERN_USA
-113.0,46.0,2137,WESTERN_USA
-113.0,47.0,2098,WESTERN_USA
-113.0,47.5,2078,WESTERN_USA
-112.5,34.0,2555,WESTERN_USA
-112.5,34.5,2539,WESTERN_USA
-112.5,38.5,2410,WESTERN_USA
-112.5,44.5,2195,WESTERN_USA
-112.5,45.5,2157,WESTERN_USA
-112.5,46.0,2137,WESTERN_USA
-112.5,46.5,2118,WESTERN_USA
-112.0,33.5,2570,WESTERN_USA
-112.0,34.0,2555,WESTERN_USA
-112.0,34.5,2539,WESTERN_USA
-112.0,35.0,2524,WESTERN_USA
-112.0,40.0,2359,WESTERN_USA
-112.0,40.5,2341,WESTERN_USA
-112.0,41.0,2324,WESTERN_USA
-112.0,41.5,2306,WESTERN_USA
-112.0,45.0,2176,WESTERN_USA
-111.5,33.5,2570,WESTERN_USA
-111.5,34.0,2555,WESTERN_USA
-111.5,34.5,2539,WESTERN_USA
-111.5,39.0,2393,WESTERN_USA
-111.5,39.5,2376,WESTERN_USA
-111.5,40.0,2359,WESTERN_USA
-111.5,40.5,2341,WESTERN_USA
-111.5,42.5,2269,WESTERN_USA
-111.5,43.0,2251,WESTERN_USA
-111.5,44.0,2214,WESTERN_USA
-111.5,44.5,2195,WESTERN_USA
-111.5,45.0,2176,WESTERN_USA
-111.5,46.5,2118,WESTERN_USA
-111.0,31.5,2628,WESTERN_USA
-111.0,33.0,2585,WESTERN_USA
-111.0,33.5,2570,WESTERN_USA
-111.0,34.0,2555,WESTERN_USA
-111.0,40.5,2341,WESTERN_USA
-111.0,42.0,2288,WESTERN_USA
-111.0,42.5,2269,WESTERN_USA
-111.0,43.0,2251,WESTERN_USA
-111.0,44.0,2214,WESTERN_USA
-111.0,44.5,2195,WESTERN_USA
-111.0,45.0,2176,WESTERN_USA
-111.0,45.5,2157,WESTERN_USA
-111.0,46.5,2118,WESTERN_USA
-110.5,32.5,2599,WESTERN_USA
-110.5,33.5,2570,WESTERN_USA
-110.5,34.0,2555,WESTERN_USA
-110.5,40.5,2341,WESTERN_USA
-110.5,43.0,2251,WESTERN_USA
-110.5,43.5,2233,WESTERN_USA
-110.5,44.0,2214,WESTERN_USA
-110.5,44.5,2195,WESTERN_USA
-110.5,45.0,2176,WESTERN_USA
-110.5,46.0,2137,WESTERN_USA
-110.5,46.5,2118,WESTERN_USA
-110.0,33.0,2585,WESTERN_USA
-110.0,33.5,2570,WESTERN_USA
-110.0,37.5,2444,WESTERN_USA
-110.0,40.5,2341,WESTERN_USA
-110.0,43.0,2251,WESTERN_USA
-110.0,43.5,2233,WESTERN_USA
-110.0,44.0,2214,WESTERN_USA
-110.0,44.5,2195,WESTERN_USA
-110.0,45.0,2176,WESTERN_USA
-109.5,31.5,2628,WESTERN_USA
-109.5,33.0,2585,WESTERN_USA
-109.5,33.5,2570,WESTERN_USA
-109.5,42.5,2269,WESTERN_USA
-109.5,43.5,2233,WESTERN_USA
-109.5,45.5,2157,WESTERN_USA
-109.5,46.5,2118,WESTERN_USA
-109.0,33.5,2570,WESTERN_USA
-109.0,39.5,2376,WESTERN_USA
-109.0,45.0,2176,WESTERN_USA
-108.5,33.0,2585,WESTERN_USA
-108.5,35.0,2524,WESTERN_USA
-108.5,37.5,2444,WESTERN_USA
-108.5,38.0,2427,WESTERN_USA
-108.5,39.5,2376,WESTERN_USA
-108.5,45.0,2176,WESTERN_USA
-108.5,46.0,2137,WESTERN_USA
-108.0,33.0,2585,WESTERN_USA
-108.0,38.0,2427,WESTERN_USA
-108.0,38.5,2410,WESTERN_USA
-108.0,39.0,2393,WESTERN_USA
-108.0,39.5,2376,WESTERN_USA
-108.0,40.0,2359,WESTERN_USA
-108.0,44.5,2195,WESTERN_USA
-107.5,37.0,2460,WESTERN_USA
-107.5,38.0,2427,WESTERN_USA
-107.5,38.5,2410,WESTERN_USA
-107.5,39.0,2393,WESTERN_USA
-107.5,39.5,2376,WESTERN_USA
-107.5,40.0,2359,WESTERN_USA
-107.5,40.5,2341,WESTERN_USA
-107.5,41.0,2324,WESTERN_USA
-107.5,44.5,2195,WESTERN_USA
-107.5,45.0,2176,WESTERN_USA
-107.0,35.5,2508,WESTERN_USA
-107.0,36.5,2476,WESTERN_USA
-107.0,37.0,2460,WESTERN_USA
-107.0,37.5,2444,WESTERN_USA
-107.0,38.0,2427,WESTERN_USA
-107.0,39.0,2393,WESTERN_USA
-107.0,40.0,2359,WESTERN_USA
-107.0,40.5,2341,WESTERN_USA
-107.0,45.0,2176,WESTERN_USA
-107.0,45.5,2157,WESTERN_USA
-107.0,46.0,2137,WESTERN_USA
-106.5,36.5,2476,WESTERN_USA
-106.5,38.0,2427,WESTERN_USA
-106.5,39.5,2376,WESTERN_USA
-106.5,40.0,2359,WESTERN_USA
-106.5,41.0,2324,WESTERN_USA
-106.5,45.0,2176,WESTERN_USA
-106.5,45.5,2157,WESTERN_USA
-106.0,32.5,2599,WESTERN_USA
-106.0,33.0,2585,WESTERN_USA
-106.0,35.5,2508,WESTERN_USA
-106.0,38.0,2427,WESTERN_USA
-106.0,38.5,2410,WESTERN_USA
-106.0,40.0,2359,WESTERN_USA
-106.0,40.5,2341,WESTERN_USA
-106.0,42.0,2288,WESTERN_USA
-106.0,45.0,2176,WESTERN_USA
-105.5,35.5,2508,WESTERN_USA
-105.5,36.0,2492,WESTERN_USA
-105.5,36.5,2476,WESTERN_USA
-105.5,37.0,2460,WESTERN_USA
-105.5,37.5,2444,WESTERN_USA
-105.5,38.0,2427,WESTERN_USA
-105.5,38.5,2410,WESTERN_USA
-105.5,39.0,2393,WESTERN_USA
-105.5,41.0,2324,WESTERN_USA
-105.0,32.0,2614,WESTERN_USA
-105.0,36.5,2476,WESTERN_USA
-105.0,44.0,2214,WESTERN_USA
-105.0,44.5,2195,WESTERN_USA